ID,Name,Modelinfo,Description,GetIt,Satiety Gauge,Poo Gauge,Type,Infinity,Note,English
3001,사다리,TX_Tool_Ladder,나무를 오를 수 있게 도와주는 사다리,튜토리얼,0,0,NULL,FALSE,튜토리얼 클리어 시 획득,Ladder
3002,장갑,TX_Tool_Gloves,손에 착용하는 장갑,튜토리얼,0,0,NULL,FALSE,튜토리얼 클리어 시 획득,Gloves
3003,황금 장갑,TX_Tool_Golden_Gloves,뛰어난 채집가에게 주어지는 황금 장갑. 채집이 더욱 쉬워질 것 같다,업적,0,0,NULL,FALSE,업적 클리어 시 획득,Golden Gloves
3004,삽,TX_Tool_Shovel,땅을 파기 용이하게 만들어진 삽 흙더미를 파헤칠 수 있을 것 같다,튜토리얼,0,0,NULL,FALSE,튜토리얼 클리어 시 획득,Shovel
3005,황금 삽,TX_Tool_Golden_Shovel,굴착의 달인에게 주어지는 황금 삽 흙더미가 더 잘 파질 것 같다,업적,0,0,NULL,FALSE,업적 클리어 시 획득,Golden Shovel
3006,너프건,TX_Tool_NerfGun,장난감처럼 보이지만 뛰어난 성능을 가진 수렵용 총,튜토리얼,0,0,NULL,FALSE,튜토리얼 클리어 시 획득,NerfGun
3007,황금 너프건,TX_Tool_GoldenNerfGun,뛰어난 사냥꾼에게 주어지는 황금 총 사냥이 더욱 즐거워질 것 같다,업적,0,0,NULL,FALSE,업적 클리어 시 획득,Golden NerfGun
3008,곤충 채집망,TX_Tool_Insect_Collecting_Net,촘촘하게 짜여진 곤충 채집망 곤충을 잡을 수 있을 것 같다,튜토리얼,0,0,NULL,FALSE,튜토리얼 클리어 시 획득,DragonflyNet
3009,낚시대,TX_Tool_Fishing_Rod,탄력있고 단단한 낚시대 물고기를 낚을 수 있을 것 같다,튜토리얼,0,0,NULL,FALSE,튜토리얼 클리어 시 획득,FishingRod
3010,황금 낚시대,TX_Tool_Golden_Fishing_Rod,뛰어난 낚시꾼에게 주어지는 황금 낚시대 더 큰 물고기를 낚을 수 있을 것 같다,업적,0,0,NULL,FALSE,업적 클리어 시 획득,Golden FishingRod
